 11 1500.074838 2.478E-29 2.485E-01.10060.412 3966.55930.75-.024180          0 1 1          1 0 0  3  0  3        4  2  2      532230837294713152     7.0    9.0
 11 1500.115751 1.024E-28 7.043E+00.07180.371 4490.06390.62-.004710          0 1 1          0 0 1  6  3  4        6  4  3      434223837294713152    13.0   13.0
 11 1500.237150 4.016E-30 1.859E+01.09800.434 5454.59620.75-.003490          1 2 0          1 1 0  3  1  2        3  2  1      434223837294713152    21.0   21.0
 11 1500.513351 1.071E-24 1.190E+01.03730.235 3084.83570.34-.006800          0 1 0          0 0 0 14  5 10       14  6  9      474423837260713059    87.0   87.0
 11 1500.545918 8.877E-22 9.401E+00.05840.330 1340.88490.59-.011100          0 1 0          0 0 0  9  3  7        9  4  6      678623837233662759    19.0   19.0
 11 1500.579474 2.282E-29 8.367E+00.06980.333 4889.40410.630.004320          1 1 0          1 0 0  8  4  4        8  5  3      434253837294713152    17.0   17.0
 11 1500.702655 4.797E-30 1.785E+01.10050.434 5409.54720.75-.002630          1 2 0          1 1 0  3  0  3        3  1  2      434233837294713152    21.0   21.0
 11 1500.923585 1.679E-29 3.165E-02.03250.183 4201.85820.390.013630          0 0 0          0 0 0 19  9 10       18  4 15      434233837260713049   117.0  111.0
 11 1500.934936 3.496E-30 1.910E-02.06380.265 4329.32430.63-.038860          0 0 1          0 1 0 12  3  9       12  7  6      432230837294713152    75.0   75.0
 11 1500.935137 1.147E-30 4.642E+01.10330.480 5274.15780.75-.006510          1 2 0          1 1 0  0  0  0        1  1  1      432230837294713152     1.0    3.0
 11 1501.057324 4.674E-28 6.190E-08.07810.371  552.91140.670.000000          0 1 0          0 0 0  5  2  3        6  2  5     q5422308079917122 0    33.0   39.0
 11 1501.239714 4.269E-28 5.731E+00.07240.391 4345.27190.62-.002870          0 1 1          0 0 1  5  3  3        5  4  2      434223837294713152    33.0   33.0
 11 1501.353578 2.429E-28 1.088E-02.06140.298 3058.39840.55-.005010          1 0 0          0 1 0  9  1  9       10  2  8      534233837294713152    19.0   21.0
